run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,60,0.05186827,0.17522528,0.02649967,0.04962885,0.02709669,0.04747309,0,Phase2-退火(65%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,61,0.05190738,0.17977330,0.02713668,0.04931582,0.02646220,0.04747309,0,Phase2-退火(67%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,62,0.05103665,0.17367524,0.02652903,0.04763619,0.02462331,0.04747309,0,Phase2-退火(68%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,63,0.05043682,0.17178782,0.02604600,0.04592839,0.02271098,0.04592839,1,Phase2-退火(70%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,64,0.05026973,0.16845446,0.02553049,0.04767658,0.02576665,0.04592839,0,Phase2-退火(72%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,65,0.05059710,0.17513258,0.02667819,0.04986050,0.02870542,0.04592839,0,Phase2-退火(73%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,66,0.04982053,0.17262393,0.02619149,0.04562500,0.02158920,0.04562500,1,Phase2-退火(75%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,67,0.04973706,0.17311529,0.02634765,0.04842140,0.02750150,0.04562500,0,Phase2-退火(77%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,68,0.04923619,0.17045092,0.02618798,0.04787825,0.02508638,0.04562500,0,Phase2-退火(78%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,69,0.04921857,0.17140885,0.02643785,0.04704334,0.02364387,0.04562500,0,Phase2-退火(80%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,70,0.04908271,0.17297184,0.02699467,0.04799525,0.02761420,0.04562500,0,Phase2-退火(82%),0.000000,5e-05
