run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
quality_v1_unet2_ds4x2_k64-003-resume,100,0.00622415,0.03213499,0.00725583,0.00602173,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,101,0.00577496,0.03175203,0.00579827,0.00579827,1,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,102,0.00584801,0.03209622,0.00599819,0.00579827,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,103,0.00579388,0.03199962,0.00558260,0.00558260,1,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,104,0.00584385,0.03230995,0.00573998,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,105,0.00586851,0.03243908,0.00661756,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,106,0.00585286,0.03259292,0.00662916,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,107,0.00578643,0.03248267,0.00563096,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,108,0.00575880,0.03236372,0.00583053,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,109,0.00578064,0.03264925,0.00587920,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,110,0.00578450,0.03260523,0.00563707,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,111,0.00576224,0.03268477,0.00630239,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,112,0.00577345,0.03279940,0.00572292,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,113,0.00570424,0.03263354,0.00558499,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,114,0.00571689,0.03277226,0.00572725,0.00558260,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,115,0.00574663,0.03284874,0.00557777,0.00557777,1,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,116,0.00569107,0.03284766,0.00543742,0.00543742,1,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,117,0.00575610,0.03297290,0.00584342,0.00543742,0,Phase3-微调,2.5e-05
