run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
auto-gn_v1_k64,176,0.00525912,0.04091234,0.00518044,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,177,0.00528674,0.04103389,0.00526782,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,178,0.00523574,0.04091327,0.00548707,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,179,0.00527618,0.04101831,0.00538136,0.00508952,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,180,0.00525512,0.04104876,0.00502043,0.00502043,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,181,0.00521156,0.04091242,0.00537248,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,182,0.00526756,0.04116705,0.00553035,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,183,0.00524539,0.04101684,0.00524171,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,184,0.00522687,0.04098925,0.00512874,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,185,0.00521226,0.04094935,0.00517877,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,186,0.00525949,0.04116212,0.00526055,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,187,0.00522490,0.04109749,0.00508595,0.00502043,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,188,0.00525708,0.04123416,0.00501087,0.00501087,1,Phase3-微调,2.5e-05
auto-gn_v1_k64,189,0.00522378,0.04122598,0.00537776,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,190,0.00524448,0.04122008,0.00503120,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,191,0.00519768,0.04094773,0.00505378,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,192,0.00521611,0.04118038,0.00502194,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,193,0.00519266,0.04107622,0.00525333,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,194,0.00518993,0.04106407,0.00512608,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,195,0.00520580,0.04117974,0.00515819,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,196,0.00521362,0.04115592,0.00573190,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,197,0.00524708,0.04149885,0.00505908,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,198,0.00520354,0.04124807,0.00535126,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,199,0.00517655,0.04120560,0.00515520,0.00501087,0,Phase3-微调,2.5e-05
auto-gn_v1_k64,200,0.00522137,0.04139813,0.00508853,0.00501087,0,Phase3-微调,1.25e-05
