run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate
rq_ema_k4-2_d2-2_rate047-20260720-173341,78,0.02409736,0.01762913,0.04172649,0.02298226,0.01641747,22.43084339,0.89400446,0.02298226,1,Phase2-退火(95%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,79,0.02337694,0.01730166,0.04067860,0.02347337,0.01693463,22.33307548,0.88917778,0.02298226,0,Phase2-退火(97%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,0.02334176,0.01741849,0.04076025,0.02303944,0.01780893,22.41358030,0.89214949,0.02298226,0,Phase2-退火(98%),0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,81,0.02301056,0.01731927,0.04032984,0.02340991,0.01688628,22.34404159,0.89233473,0.02298226,0,Phase3-微调,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,82,0.02445548,0.01744610,0.04190158,0.02417074,0.01705840,22.20633169,0.89037095,0.02298226,0,Phase3-微调,0.025000,0.03518519,8.40466392,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,83,0.02297476,0.01731758,0.04029235,0.02282841,0.01794779,22.45939322,0.89402632,0.02282841,1,Phase3-微调,0.050000,0.05185185,5.88246850,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,84,0.02293476,0.01797911,0.04091387,0.02349455,0.01791873,22.32922797,0.89180151,0.02282841,0,Phase3-微调,0.075000,0.08518519,7.71283971,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,85,0.02297557,0.01835971,0.04133529,0.02330754,0.01865593,22.36317364,0.89280809,0.02282841,0,Phase3-微调,0.100000,0.10000000,6.35169336,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,86,0.02304479,0.01904327,0.04208806,0.02354203,0.01819138,22.31868307,0.88969309,0.02282841,0,Phase3-微调,0.125000,0.12777778,7.74443994,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,87,0.02329034,0.02020965,0.04349999,0.02392127,0.02029701,22.25434200,0.89009620,0.02282841,0,Phase3-微调,0.150000,0.17407407,7.81779622,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,88,0.02338479,0.02170345,0.04508824,0.02338315,0.02276901,22.35153457,0.88939353,0.02282841,0,Phase3-微调,0.175000,0.20370370,7.40619646,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,89,0.02683565,0.02212132,0.04895697,0.02324823,0.01919256,22.37861611,0.88968659,0.02282841,0,Phase3-微调,0.200000,0.20370370,7.10430111,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,0.02335298,0.02171859,0.04507157,0.02344042,0.02345540,22.34501662,0.88986708,0.02282841,0,Phase3-微调,0.225000,0.21296296,8.07503394,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,91,0.02332506,0.02495269,0.04827775,0.02330206,0.02704159,22.37083371,0.89061066,0.02282841,0,Phase3-微调,0.250000,0.23888889,7.42456963,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,92,0.02329931,0.02558026,0.04887958,0.02349181,0.02231827,22.33050323,0.88959097,0.02282841,0,Phase3-微调,0.275000,0.29814815,7.83087544,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,93,0.02298120,0.02209015,0.04507135,0.02383552,0.02067854,22.26538667,0.88744592,0.02282841,0,Phase3-微调,0.300000,0.27592593,7.43920702,4608,0.0703125000,0.0468750000,5e-05
