run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,commitment,residual_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
rq_ema_k4-2_d2-2_rate047-20260720-173341,180,1,,aggregate,2,1.0000000000,2,0,1.6950360537,0.0040225334,0.0610370303,0,"[54222,191538]",3.4937555790,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,0,0,depth,4,1.0000000000,4,0,3.4398205280,0.0674081542,0.2594161533,0,"[149206,52096,220922,69296]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,0,1,depth,4,1.0000000000,4,0,2.1134476662,0.0576132869,0.2398319222,0,"[3529,217031,1960,269000]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,0,,aggregate,4,1.0000000000,4,0,3.8478384018,0.0625107205,0.2398319222,0,"[152735,269127,222882,338296]",3.4065420628,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,1,0,depth,2,1.0000000000,2,0,1.8195029497,0.0042065129,0.0647673959,0,"[35148,87732]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,1,1,depth,2,1.0000000000,2,0,1.6506862640,0.0036112231,0.0600266337,0,"[24646,98234]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,190,1,,aggregate,2,1.0000000000,2,0,1.7416914701,0.0039088680,0.0600266337,0,"[59794,185966]",3.5172617435,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,0,0,depth,4,1.0000000000,4,0,3.4285631180,0.0758849673,0.2752534322,0,"[149313,49371,221481,71355]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,0,1,depth,4,1.0000000000,4,0,2.1159222126,0.0645938583,0.2539457269,0,"[4155,210378,1862,275125]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,0,,aggregate,4,1.0000000000,4,0,3.8414416313,0.0702394128,0.2539457269,0,"[153468,259749,223343,346480]",3.4003114700,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,1,0,depth,2,1.0000000000,2,0,1.8250149488,0.0044801280,0.0668241285,0,"[35558,87322]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,1,1,depth,2,1.0000000000,2,0,1.6905114651,0.0039480450,0.0627526678,0,"[26852,96028]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,200,1,,aggregate,2,1.0000000000,2,0,1.7623178959,0.0042140865,0.0627526678,0,"[62410,183350]",3.5100224018,0,0.0000000000,2,1
