run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,codebook_loss,commitment,residual_norm,projection_grad_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,0,,aggregate,16,1.0000000000,16,0,12.4419498444,0.0996359212,0.0996359214,0.2811858088,0.0001437706,0,"[37112,74511,38313,38023,22836,183788,46450,174332,41519,57777,20353,23455,55165,19890,56986,92530]",3.9799225330,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,1,0,depth,4,0.7500000000,3,1,2.9174332619,0.0029207208,0.0029207208,0.0538559943,,0,"[28630,0,51819,42431]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,1,1,depth,4,0.7500000000,3,1,1.9939552546,0.0016234154,0.0016234154,0.0400274869,,0,"[2310,0,84771,35799]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,100,1,,aggregate,4,0.7500000000,3,1,2.5901777744,0.0022720681,0.0022720681,0.0400274869,0.0000416843,0,"[30940,0,136590,78230]",2.0057663918,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,0,0,depth,16,1.0000000000,16,0,13.8273553848,0.1248965729,0.1248965729,0.3530817375,,0,"[5973,21173,40336,6112,21231,35296,46976,30197,43850,52841,15263,18487,50543,18920,56391,27931]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,0,1,depth,16,1.0000000000,16,0,5.8895230293,0.0846236203,0.0846236203,0.2905484021,,0,"[30800,48404,3,28642,1077,152579,195,142733,8,4421,4531,5455,5020,986,56,66610]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,0,,aggregate,16,1.0000000000,16,0,12.3943414688,0.1047600966,0.1047600966,0.2905484021,0.0001210171,0,"[36773,69577,40339,34754,22308,187875,47171,172930,43858,57262,19794,23942,55563,19906,56447,94541]",3.8446223736,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,1,0,depth,4,0.7500000000,3,1,2.9419519901,0.0034550769,0.0034550769,0.0585645737,,0,"[37374,0,52326,33180]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,1,1,depth,4,0.7500000000,3,1,1.9584491253,0.0020076571,0.0020076571,0.0445319405,,0,"[2275,0,87097,33508]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,110,1,,aggregate,4,0.7500000000,3,1,2.6374957561,0.0027313670,0.0027313670,0.0445319405,0.0000375269,0,"[39649,0,139423,66688]",2.2883551121,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,0,0,depth,16,1.0000000000,16,0,13.7434167862,0.1229104254,0.1229104254,0.3502958402,,0,"[5413,21099,41377,5952,21895,35916,47547,29743,44502,52970,15639,17410,50626,17857,56465,27109]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,0,1,depth,16,1.0000000000,16,0,5.8603920937,0.0830601532,0.0830601528,0.2878948063,,0,"[29426,49675,3,28112,1127,151256,231,146762,10,4288,4766,5293,5233,967,62,64309]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,0,,aggregate,16,1.0000000000,16,0,12.3504896164,0.1029852893,0.1029852891,0.2878948063,0.0001203920,0,"[34839,70774,41380,34064,23022,187172,47778,176505,44512,57258,20405,22703,55859,18824,56527,91418]",3.7794175148,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,1,0,depth,4,0.7500000000,3,1,2.9753856659,0.0037239499,0.0037239499,0.0608658738,,0,"[37841,0,48457,36582]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,1,1,depth,4,0.7500000000,3,1,1.9130396843,0.0022482458,0.0022482458,0.0472417926,,0,"[2127,0,89570,31183]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,120,1,,aggregate,4,0.7500000000,3,1,2.6501734257,0.0029860978,0.0029860978,0.0472417926,0.0000392270,0,"[39968,0,138027,67765]",2.3608994484,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,0,0,depth,16,1.0000000000,16,0,13.8189544678,0.1297670763,0.1297670763,0.3599246114,,0,"[5732,20826,39493,6566,21088,36252,47437,30277,43669,53145,15385,18308,51203,18368,55729,28042]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,0,1,depth,16,1.0000000000,16,0,5.8378105164,0.0897025935,0.0897025932,0.2991765872,,0,"[30565,45075,1,30555,981,153901,173,143821,6,3892,4327,5594,4977,951,44,66657]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,0,,aggregate,16,1.0000000000,16,0,12.3460702896,0.1097348349,0.1097348347,0.2991765872,0.0001197529,0,"[36297,65901,39494,37121,22069,190153,47610,174098,43675,57037,19712,23902,56180,19319,55773,94699]",3.8463268280,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,1,0,depth,4,0.7500000000,3,1,2.9457609653,0.0036341104,0.0036341104,0.0601832576,,0,"[42991,0,49206,30683]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,1,1,depth,4,0.7500000000,3,1,1.7395894527,0.0021714828,0.0021714828,0.0465199679,,0,"[3310,0,100298,19272]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,130,1,,aggregate,4,0.7500000000,3,1,2.5617437363,0.0029027966,0.0029027966,0.0465199679,0.0000394204,0,"[46301,0,149504,49955]",2.5571098328,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,0,0,depth,16,1.0000000000,16,0,13.7887525558,0.1311934732,0.1311934732,0.3618653104,,0,"[5574,21002,40838,6664,21546,36666,47395,31703,43156,52740,15387,17823,51758,17489,55591,26188]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,0,1,depth,16,1.0000000000,16,0,5.7790746689,0.0917230293,0.0917230278,0.3024909586,,0,"[29804,44977,1,31122,979,155257,131,146808,6,3950,4305,5494,4813,863,47,62963]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,0,,aggregate,16,1.0000000000,16,0,12.2772550583,0.1114582513,0.1114582505,0.3024909586,0.0001177613,0,"[35378,65979,40839,37786,22525,191923,47526,178511,43162,56690,19692,23317,56571,18352,55638,89151]",3.8330843449,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,1,0,depth,4,0.7500000000,3,1,2.9416739941,0.0048921382,0.0048921382,0.0697745519,,0,"[51441,0,39822,31617]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,1,1,depth,4,0.7500000000,3,1,1.7534946203,0.0032173394,0.0032173394,0.0565534584,,0,"[3905,0,100304,18671]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,140,1,,aggregate,4,0.7500000000,3,1,2.6663365364,0.0040547388,0.0040547388,0.0565534584,0.0000483334,0,"[55346,0,140126,50288]",2.5572042465,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,0,0,depth,16,1.0000000000,16,0,13.7212610245,0.1298692789,0.1298692789,0.3600388080,,0,"[5349,20825,40052,6266,20826,36592,47723,32226,43892,53030,14767,18096,52042,17659,56161,26014]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,0,1,depth,16,1.0000000000,16,0,5.6966400146,0.0912360214,0.0912360232,0.3016895235,,0,"[28098,44364,1,29326,868,156881,141,148736,6,3955,3878,5452,5037,874,42,63861]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,0,,aggregate,16,1.0000000000,16,0,12.1730813980,0.1105526501,0.1105526511,0.3016895235,0.0001219431,0,"[33447,65189,40053,35592,21694,193473,47864,180962,43898,56985,18645,23548,57079,18533,56203,89875]",3.8281970024,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,1,0,depth,4,0.7500000000,3,1,2.9399654865,0.0075622216,0.0075622216,0.0868230451,,0,"[47701,0,45488,29691]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,1,1,depth,4,0.7500000000,3,1,1.6540745497,0.0062788055,0.0062788055,0.0791219003,,0,"[3000,0,103539,16341]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,150,1,,aggregate,4,0.7500000000,3,1,2.5669126511,0.0069205135,0.0069205135,0.0791219003,0.0000824510,0,"[50701,0,149027,46032]",2.7181274891,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,0,0,depth,16,1.0000000000,16,0,13.7902812958,0.1358947840,0.1358947840,0.3682931930,,0,"[6063,20996,41181,6269,21805,36645,47181,32430,43388,52553,15313,17958,51777,17411,55542,25008]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,0,1,depth,16,1.0000000000,16,0,5.7944297791,0.0965192791,0.0965192799,0.3103045210,,0,"[32666,45216,1,28867,946,154841,139,146592,6,4063,4085,5513,5007,895,51,62632]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,0,,aggregate,16,1.0000000000,16,0,12.2891473770,0.1162070315,0.1162070319,0.3103045210,0.0001282952,0,"[38729,66212,41182,35136,22751,191486,47320,179022,43394,56616,19398,23471,56784,18306,55593,87640]",3.8180875778,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,1,0,depth,4,0.7500000000,3,1,2.9179818630,0.0152644661,0.0152644661,0.1233206715,,0,"[51700,0,42551,28629]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,1,1,depth,4,0.7500000000,3,1,1.7023932934,0.0136598121,0.0136598122,0.1166567460,,0,"[3820,0,102313,16747]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,160,1,,aggregate,4,0.7500000000,3,1,2.6105163097,0.0144621391,0.0144621392,0.1166567460,0.0001177062,0,"[55520,0,144864,45376]",2.7911388874,0,0.0000000000,4,1
